audio_path,transcript,textgrid_path,tier_name,interval_id
processed_data/Archi/Gold/segments/archi-txo-24_segment1.wav,os ɬːonnol dat͡ʃmullin χabar,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,1
processed_data/Archi/Gold/segments/archi-txo-24_segment2.wav,os t͡ʃʼemna os boʃormin halmaχdu ewdili jatːik ʟʼarak warʟirtːu ikʼʷ wiχdu hibatːu,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,2
processed_data/Archi/Gold/segments/archi-txo-24_segment3.wav,ħurmat barʃi qʼimat barʃi dosʃi qʼeˤbdili ebdili,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,3
processed_data/Archi/Gold/segments/archi-txo-24_segment4.wav,os tʼiːnna t͡ʃʼem etːimχur jamu boʃor t͡siliʃi boli uqˤali,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,4
processed_data/Archi/Gold/segments/archi-txo-24_segment5.wav,jamu boʃor ɬːe ewtːili χitːa,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,5
processed_data/Archi/Gold/segments/archi-txo-24_segment6.wav,jamu boʃormiɬːu warʟirtːu halmaχdu qˤʷali ɬibtʼu iʃna jamummun ɬːannarak loburt͡ʃerak,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,6
processed_data/Archi/Gold/segments/archi-txo-24_segment7.wav,jarmis ʟʼantʼuʃi etːili jamu waʟmulu boʃor witʼutːa,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,7
processed_data/Archi/Gold/segments/archi-txo-24_segment8.wav,jar ɬːanna boli zon duχːˤatːak deqˤes di boli was mutʼuʃi korgi boli un t͡ʃʼaχːut diʟʼinnaʃdimmemmaʃi uqˤa boli,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,8
processed_data/Archi/Gold/segments/archi-txo-24_segment9.wav,was ikʼmis ekutːut duχːˤat hani boli,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,9
processed_data/Archi/Gold/segments/archi-txo-24_segment10.wav,wit boʃoːru weˤqiʃi χuqi boli,data/Archi/Gold/archi-txo-24.eaf,phrase-txt-aqc,10
