audio_path,transcript,textgrid_path,tier_name,interval_id
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment0.wav,uqʼulʲa zamanindexa ɢarpɨzawadidde sa ʔ uˤlkije pat͡ʃahna pat͡ʃahad ʃuw wazir jeʃemiʃ duruʔurijxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,1
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment1.wav,mi pat͡ʃahara ɢari qarɨʔɨrxʷa ɢari qarɨʔɨr χɨnimer diʃirxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,2
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment2.wav,hamɨʔ χɨnimer sahaˤl eke diʃijnexʷa habiʃe miʔ tiʔ uˤlkima daˤʔwibɨr haʔasdɨ dɨgɨrgarijxʷa χaˤr daʔarijxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,4
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment3.wav,ʃuwna daˤʔwi waʔasijden ʃuwna vɨjgrat dɨkɨsijden,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,5
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment4.wav,hemijaː sa uˤlkije sytkyrxʷa dɨxɨrxa sytkyr dɨxɨjnexʷa minowda juɣur duχxa χajxʷa wazirxa jiʔijxʷa d͡ʒudu,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,7
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment5.wav,d͡ʒudu ɢuʃimxa wiʔijxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,9
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment6.wav,mi ɢuʃim ʁaʔ suru t͡ʃulde abgɨrxʷa mibɨr aʔ sa babaje qʼaˤsdɨ ɢarinenejra aʔ ses hawɨrxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,10
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment7.wav,jekan xurxʷa hemij xibdɨ juqʼdɨ jɨʁa sydqʼe xurxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,11
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment8.wav,mi ɢarinenejes mi pat͡ʃahara zar karxa wɨlt͡sʼara iled raˤʁadxa hɨχdɨ hɨwɨr hemi ɢarinenejekan subqʼura,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,12
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment9.wav,mid ɢarinene aˤqʼallɨ xɨdɨldɨ riʔijxa min mijila minowus begemiʃ riʃirxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,13
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment10.wav,hemid sa naˤχan aː lukudxa ʁaʔxa eee,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,14
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment11.wav,daˤʔwi axa minowdɨ ɢuʃimakan jidqʼɨr kit͡ʃdilqaraxa maddɨbɨrxa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,16
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment12.wav,mij vɨigrat diʃirxʷa mibɨr laʔ xu nu kiʁitxurxʷa d͡ʒudubɨr rak ʁaʔ siga,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,18
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment13.wav,d͡ʒibra maːdaxa haːsa ruʔuraxʷa mi ʃumud jɨʁ ixa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,20
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment14.wav,hamɨʔ sa naˤχanxa mid pat͡ʃah saχɨjnexa pat͡ʃahas naqʼ ʁargʷaraxa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,21
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment15.wav,ʁaʔ sikʼʲ luwʁuraxʷa huʁalqade,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,22
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment16.wav,mij fikɨrde irxurxʷa mid ʃiw ijden xurxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,23
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment17.wav,sikʼʲ luwʁun xurxʷa huʁalqade sikʼʲ wuʁaraxa ʁaʔ,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,24
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment18.wav,t͡ʃʼirt͡ʃʼik sikʼira at͡sʼɨraxʷa,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,26
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment19.wav,haː ʁaʔ ʁeqet͡ʃʼur laʔ luzurxʷa jakʷas t͡ʃej kar raˤʁɨrxa minow mi qʼaˤsdɨ ɢarinenejeχda aʔ ses waʔara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,28
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment20.wav,haj qʼaˤsij ruxʷara hemid ʃuwna hiʃir ruxara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,29
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment21.wav,zas juʃe jakuʃir naqʼ hiʃirdiʃ ruxara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,30
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment22.wav,ʁaʔ sikʼʲ wuʁatʼi xur xujne ruxara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,31
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment23.wav,huʃ haj pat͡ʃah ruxʷara had sikʼʲ ruxara wɨdɨ wazirara wɨ reχe haʔara ruxʷara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,33
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment24.wav,had sikʼʲ mɨt͡ʃeb i ʁaʔ huʁad ruxara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,34
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment25.wav,wɨdɨ ɢuʃimeraxa wɨ reχe haʔara ruxʷara,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,35
processed_data/Rutul/Gold/segments/kna_2019_07_msrt_1978_segment26.wav,habiʃe wadaː zar kar lebt͡ʃura jaː napadenije hɨʔɨra kar i xur,data/Rutul/Gold/kna_2019_07_msrt_1978.TextGrid,@msrt1978_Transcription-txt-rut,36
